Year,Solid fuels,Crude and petroleum ,Gas,Electricity,Renewable energy
1990,32270.5,92189.7,36808.3,39129.8,2984.5
1991,21172.2,99293.9,40311.4,39150.7,2845.7
1992,15263.3,99628.2,41113.3,38772.7,2669.9
1993,12373.7,102199.9,43753.4,38354.8,2694.7
1994,10830.3,98537.6,44743.7,38140.4,2723
1995,9672.6,98815.8,48213.4,38797,2727.4
1996,9340,102089.1,54288.4,39411.7,2767.7
1997,8701.1,100195.2,51811.5,39701.4,4149
1998,6781.4,99342.3,51873.2,40079.7,4436.4
1999,6087.4,95466.2,52158.7,40712,4419.1
2000,5587,92269.5,52981.3,41569.5,4828.4
2001,5213.5,94499.8,53933.2,42585.3,5205
2002,4957.9,90185,53914.9,43723.8,5567.4
2003,5818,88137.8,53218.2,44273.7,7908.3
2004,4767.7,85164.7,53554.4,44851.3,8838.1
2005,4033.9,82171.3,52614.2,44918.9,10105.1
2006,4798.1,82824.4,53538,45411.5,12677
2007,4590.7,71231.7,51279.9,45531.6,14087.5
2008,4154.4,78408.7,52595.4,45379.4,14170.3
2009,3727.8,74578.2,48911.6,42776.6,13693.5
2010,4375.2,74946.6,53993.4,45745.7,16217.9
2011,4880.8,72300.4,48190.4,45131.3,15308.1
2012,4341.9,72565.8,50299.8,45100.9,16705.6
2013,4318.2,75296.2,52845.6,44910.6,16948.1
2014,4077.8,73692.5,47428.6,44003.2,15526.9
2015,4749.3,73037.1,49302.2,44277.6,15583
2016,4630.1,73583.5,52415.6,44501.6,15387.9
2017,4547.9,73663,52772.2,44621.9,15779.6
2018,3758.5,70187.3,53196.1,44080.5,16446.5
2019,3421.6,72069.2,52364.1,42950.5,16618.1
